"Year Month","State","Countym","Industry","Suspicious Activity","Regulator","Product","Instrument","Count"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Credit/Debit Card","FRB","Credit Card","Funds Transfer","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Credit/Debit Card","FRB","Credit Card","[Total]","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Credit/Debit Card","[Total]","Credit Card","[Total]","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Elder Financial Exploitation","FRB","Credit Card","Funds Transfer","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Elder Financial Exploitation","FRB","Credit Card","[Total]","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Elder Financial Exploitation","[Total]","Credit Card","[Total]","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Identity Theft","FRB","Credit Card","Funds Transfer","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Identity Theft","FRB","Credit Card","[Total]","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Identity Theft","[Total]","Credit Card","[Total]","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Other Fraud (Type)","FRB","Credit Card","Funds Transfer","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Other Fraud (Type)","FRB","Credit Card","[Total]","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","Other Fraud (Type)","[Total]","Credit Card","[Total]","1"
"2020 January","California","Contra Costa County, CA","Securities/Futures","[Total]","[Total]","Credit Card","[Total]","4"
"2020 January","California","Contra Costa County, CA","[Total]","[Total]","[Total]","Credit Card","[Total]","4"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Insider Trading","OCC","Credit Card","Funds Transfer","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Insider Trading","OCC","Credit Card","Personal/Business Check","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Insider Trading","OCC","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Insider Trading","[Total]","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Market Manipulation","OCC","Credit Card","Funds Transfer","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Market Manipulation","OCC","Credit Card","Personal/Business Check","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Market Manipulation","OCC","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Market Manipulation","[Total]","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Misuse of Position or Self-Dealing","OCC","Credit Card","Funds Transfer","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Misuse of Position or Self-Dealing","OCC","Credit Card","Personal/Business Check","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Misuse of Position or Self-Dealing","OCC","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Misuse of Position or Self-Dealing","[Total]","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Securities","OCC","Credit Card","Funds Transfer","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Securities","OCC","Credit Card","Personal/Business Check","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Securities","OCC","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Securities","[Total]","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicion Concerning the Source of Funds","OCC","Credit Card","Funds Transfer","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicion Concerning the Source of Funds","OCC","Credit Card","Personal/Business Check","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicion Concerning the Source of Funds","OCC","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicion Concerning the Source of Funds","[Total]","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicious EFT/Wire Transfers","OCC","Credit Card","Funds Transfer","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicious EFT/Wire Transfers","OCC","Credit Card","Personal/Business Check","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicious EFT/Wire Transfers","OCC","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicious EFT/Wire Transfers","[Total]","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicious Use of Noncash Monetary Instruments","OCC","Credit Card","Funds Transfer","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicious Use of Noncash Monetary Instruments","OCC","Credit Card","Personal/Business Check","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicious Use of Noncash Monetary Instruments","OCC","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Suspicious Use of Noncash Monetary Instruments","[Total]","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","OCC","Credit Card","Funds Transfer","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","OCC","Credit Card","Personal/Business Check","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","OCC","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Transaction with No Apparent Economic, Business, or Lawful Purpose","[Total]","Credit Card","[Total]","2"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Two or More Individuals Working Together","OCC","Credit Card","Funds Transfer","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Two or More Individuals Working Together","OCC","Credit Card","Personal/Business Check","1"
"2020 January","California","Los Angeles County, CA","Securities/Futures","Two or More Individuals Working Together","OCC","Credit Card","[Total]","2"
